variant,profile,mode,count,cycles_per_txn,accepted_per_cycle,min,mean,p50,p95,p99,max,throughput_txn_per_cycle
b3l2,20pct_Q8ENC_80pct_other,Q4_DEC,51971,6.9072,0.144777,25,139.670,138,191,214,271,0.037621
b3l2,25pct_Q8ENC_75pct_other,Q8_ENC,50100,7.3154,0.136697,47,158.733,157,215,239,309,0.034243
b3l2,25pct_Q8ENC_75pct_other,Q8_DEC,50116,7.3154,0.136697,31,147.423,146,201,226,291,0.034254
b3l2,25pct_Q8ENC_75pct_other,Q4_ENC,49915,7.3154,0.136697,24,156.107,155,210,234,313,0.034116
b3l2,25pct_Q8ENC_75pct_other,Q4_DEC,49869,7.3154,0.136697,42,147.614,146,201,227,292,0.034085
b3l2,40pct_Q8ENC_60pct_other,Q8_ENC,80372,9.4377,0.105958,12,201.448,200,270,298,372,0.042580
b3l2,40pct_Q8ENC_60pct_other,Q8_DEC,39719,9.4377,0.105958,10,186.284,185,252,279,349,0.021043
b3l2,40pct_Q8ENC_60pct_other,Q4_ENC,39800,9.4377,0.105958,61,192.551,191,257,286,360,0.021086
b3l2,40pct_Q8ENC_60pct_other,Q4_DEC,40109,9.4377,0.105958,26,186.687,185,253,282,356,0.021249
b3l2,60pct_Q8ENC_40pct_other,Q8_ENC,120033,13.1724,0.075916,25,269.197,270,340,364,423,0.045562
b3l2,60pct_Q8ENC_40pct_other,Q8_DEC,28073,13.1724,0.075916,27,251.111,251,320,346,402,0.010656
b3l2,60pct_Q8ENC_40pct_other,Q4_ENC,25880,13.1724,0.075916,24,253.966,253,321,346,413,0.009824
b3l2,60pct_Q8ENC_40pct_other,Q4_DEC,26014,13.1724,0.075916,28,250.967,251,320,345,394,0.009874
b3l2,100pct_Q8_ENC,Q8_ENC,200000,21.7082,0.046065,25,410.434,409,422,424,443,0.046065
b3l2,100pct_Q8_DEC,Q8_DEC,200000,2.0198,0.495103,10,54.361,55,94,105,125,0.495103
b3l2,100pct_Q4_ENC,Q4_ENC,200000,18.7082,0.053452,22,353.444,352,365,367,387,0.053452
b3l2,100pct_Q4_DEC,Q4_DEC,200000,2.0199,0.495064,10,51.946,50,94,106,141,0.495064
b3l2,alt_Q8ENC_Q4DEC,Q8_ENC,100000,10.8534,0.092137,26,235.764,236,240,243,259,0.046069
b3l2,alt_Q8ENC_Q4DEC,Q4_DEC,100000,10.8534,0.092137,28,218.064,218,222,226,246,0.046069
b3l2,alt_Q8ENC_Q8DEC,Q8_ENC,100000,10.8533,0.092137,25,235.761,236,240,243,262,0.046069
b3l2,alt_Q8ENC_Q8DEC,Q8_DEC,100000,10.8533,0.092137,25,218.065,218,222,226,242,0.046069
b3l2,alt_Q4ENC_Q4DEC,Q4_ENC,100000,9.3533,0.106914,24,202.777,203,207,210,226,0.053457
b3l2,alt_Q4ENC_Q4DEC,Q4_DEC,100000,9.3533,0.106914,24,188.065,188,192,196,210,0.053457
b3l2,adversarial_HOL_pattern,Q8_ENC,33334,4.1179,0.242843,26,94.998,99,102,104,111,0.040475
b3l2,adversarial_HOL_pattern,Q8_DEC,100000,4.1179,0.242843,27,87.045,86,102,105,115,0.121422
b3l2,adversarial_HOL_pattern,Q4_DEC,66666,4.1179,0.242843,27,89.779,88,104,107,117,0.080947
b3l4,uniform_random_modes,Q8_ENC,50101,7.0354,0.142139,55,180.856,180,243,271,331,0.035607
b3l4,uniform_random_modes,Q8_DEC,49842,7.0354,0.142139,10,169.637,168,230,257,316,0.035422
b3l4,uniform_random_modes,Q4_ENC,49809,7.0354,0.142139,22,178.462,177,239,265,328,0.035399
b3l4,uniform_random_modes,Q4_DEC,50248,7.0354,0.142139,10,169.735,169,230,256,326,0.035711
b3l4,realistic_reconstructed_mix_SIMULATED,Q8_ENC,39964,4.9299,0.202845,28,132.667,130,200,231,310,0.040532
b3l4,realistic_reconstructed_mix_SIMULATED,Q8_DEC,80251,4.9299,0.202845,10,120.607,118,184,214,288,0.081392
b3l4,realistic_reconstructed_mix_SIMULATED,Q4_ENC,19996,4.9299,0.202845,23,125.190,122,187,219,290,0.020280
b3l4,realistic_reconstructed_mix_SIMULATED,Q4_DEC,59789,4.9299,0.202845,11,120.386,118,184,215,298,0.060639
b3l4,10pct_Q8ENC_90pct_other,Q8_ENC,20208,6.0897,0.164212,48,152.624,151,214,242,293,0.016592
b3l4,10pct_Q8ENC_90pct_other,Q8_DEC,59634,6.0897,0.164212,13,147.449,146,208,237,320,0.048963
b3l4,10pct_Q8ENC_90pct_other,Q4_ENC,60122,6.0897,0.164212,13,158.993,158,223,250,320,0.049364
b3l4,10pct_Q8ENC_90pct_other,Q4_DEC,60036,6.0897,0.164212,13,147.495,146,209,236,303,0.049293
b3l4,20pct_Q8ENC_80pct_other,Q8_ENC,39857,6.5937,0.151659,25,169.046,168,230,256,320,0.030223
b3l4,20pct_Q8ENC_80pct_other,Q8_DEC,53862,6.5937,0.151659,50,159.876,159,218,244,316,0.040843
b3l4,20pct_Q8ENC_80pct_other,Q4_ENC,54197,6.5937,0.151659,42,169.593,169,231,256,329,0.041097
b3l4,20pct_Q8ENC_80pct_other,Q4_DEC,52084,6.5937,0.151659,41,159.539,159,218,244,329,0.039495
b3l4,25pct_Q8ENC_75pct_other,Q8_ENC,50448,7.0575,0.141694,30,181.375,180,245,273,350,0.035741
b3l4,25pct_Q8ENC_75pct_other,Q8_DEC,49898,7.0575,0.141694,11,170.075,169,231,259,354,0.035351
b3l4,25pct_Q8ENC_75pct_other,Q4_ENC,49989,7.0575,0.141694,13,178.817,178,240,267,338,0.035416
b3l4,25pct_Q8ENC_75pct_other,Q4_DEC,49665,7.0575,0.141694,11,170.201,169,231,260,351,0.035186
b3l4,40pct_Q8ENC_60pct_other,Q8_ENC,80082,9.2534,0.108068,24,231.780,231,304,334,422,0.043272
b3l4,40pct_Q8ENC_60pct_other,Q8_DEC,40136,9.2534,0.108068,74,216.578,215,286,317,402,0.021687
b3l4,40pct_Q8ENC_60pct_other,Q4_ENC,40000,9.2534,0.108068,24,222.452,222,291,321,400,0.021614
b3l4,40pct_Q8ENC_60pct_other,Q4_DEC,39782,9.2534,0.108068,24,216.328,215,286,317,382,0.021496
b3l4,60pct_Q8ENC_40pct_other,Q8_ENC,119847,13.1248,0.076192,13,308.401,308,381,408,471,0.045657
b3l4,60pct_Q8ENC_40pct_other,Q8_DEC,27838,13.1248,0.076192,16,290.442,291,362,388,445,0.010605
b3l4,60pct_Q8ENC_40pct_other,Q4_ENC,26486,13.1248,0.076192,9,293.589,294,364,389,447,0.010090
b3l4,60pct_Q8ENC_40pct_other,Q4_DEC,25829,13.1248,0.076192,11,290.790,291,362,388,435,0.009840
b3l4,100pct_Q8_ENC,Q8_ENC,200000,21.7082,0.046066,26,453.846,455,458,466,480,0.046066
b3l4,100pct_Q8_DEC,Q8_DEC,200000,2.0223,0.494474,10,54.053,54,94,104,131,0.494474
b3l4,100pct_Q4_ENC,Q4_ENC,200000,18.7082,0.053452,25,390.859,392,395,403,417,0.053452
b3l4,100pct_Q4_DEC,Q4_DEC,200000,2.0261,0.493548,10,51.029,50,93,104,128,0.493548
b3l4,alt_Q8ENC_Q4DEC,Q8_ENC,100000,10.8533,0.092138,26,279.164,282,285,288,305,0.046069
b3l4,alt_Q8ENC_Q4DEC,Q4_DEC,100000,10.8533,0.092138,27,261.451,263,268,271,286,0.046069
b3l4,alt_Q8ENC_Q8DEC,Q8_ENC,100000,10.8533,0.092138,25,279.170,282,285,288,305,0.046069
b3l4,alt_Q8ENC_Q8DEC,Q8_DEC,100000,10.8533,0.092138,25,261.467,263,268,271,286,0.046069
b3l4,alt_Q4ENC_Q4DEC,Q4_ENC,100000,9.3533,0.106914,22,240.196,243,246,249,263,0.053457
b3l4,alt_Q4ENC_Q4DEC,Q4_DEC,100000,9.3533,0.106914,24,225.493,227,232,235,249,0.053457
b3l4,adversarial_HOL_pattern,Q8_ENC,33334,3.7846,0.264231,27,107.742,113,116,118,137,0.044039
b3l4,adversarial_HOL_pattern,Q8_DEC,100000,3.7846,0.264231,31,94.152,96,104,108,129,0.132116
b3l4,adversarial_HOL_pattern,Q4_DEC,66666,3.7846,0.264231,33,94.038,96,104,107,129,0.088076
b3split,uniform_random_modes,Q8_ENC,44183,6.2749,0.159364,24,133.386,133,165,182,212,0.035206
b3split,uniform_random_modes,Q8_DEC,55734,6.2749,0.159364,9,129.544,128,161,177,208,0.044410
b3split,uniform_random_modes,Q4_ENC,43854,6.2749,0.159364,14,130.155,129,159,173,203,0.034944
b3split,uniform_random_modes,Q4_DEC,56229,6.2749,0.159364,11,129.694,129,161,177,211,0.044804
b3split,realistic_reconstructed_mix_SIMULATED,Q8_ENC,56721,6.7144,0.148934,13,143.560,142,183,201,215,0.042238
b3split,realistic_reconstructed_mix_SIMULATED,Q8_DEC,65560,6.7144,0.148934,10,138.239,137,179,194,217,0.048821
b3split,realistic_reconstructed_mix_SIMULATED,Q4_ENC,28381,6.7144,0.148934,61,134.711,134,170,183,198,0.021135
b3split,realistic_reconstructed_mix_SIMULATED,Q4_DEC,49338,6.7144,0.148934,9,138.209,137,179,193,212,0.036741
b3split,10pct_Q8ENC_90pct_other,Q8_ENC,21472,6.4927,0.154019,24,131.875,132,161,168,183,0.016535
b3split,10pct_Q8ENC_90pct_other,Q8_DEC,56919,6.4927,0.154019,16,133.633,133,164,177,190,0.043833
b3split,10pct_Q8ENC_90pct_other,Q4_ENC,64679,6.4927,0.154019,21,137.147,137,167,179,192,0.049809
b3split,10pct_Q8ENC_90pct_other,Q4_DEC,56930,6.4927,0.154019,22,133.655,133,164,177,192,0.043841
b3split,20pct_Q8ENC_80pct_other,Q8_ENC,37346,6.1789,0.161841,74,130.188,130,159,173,208,0.030220
b3split,20pct_Q8ENC_80pct_other,Q8_DEC,57493,6.1789,0.161841,10,127.623,127,157,170,206,0.046524
b3split,20pct_Q8ENC_80pct_other,Q4_ENC,50310,6.1789,0.161841,23,129.524,129,158,171,201,0.040711
b3split,20pct_Q8ENC_80pct_other,Q4_DEC,54851,6.1789,0.161841,10,127.765,127,157,171,206,0.044386
b3split,25pct_Q8ENC_75pct_other,Q8_ENC,44098,6.2672,0.159561,12,133.299,132,165,183,211,0.035182
b3split,25pct_Q8ENC_75pct_other,Q8_DEC,56004,6.2672,0.159561,19,129.420,128,160,177,208,0.044680
b3split,25pct_Q8ENC_75pct_other,Q4_ENC,43952,6.2672,0.159561,28,129.978,129,159,173,197,0.035065
b3split,25pct_Q8ENC_75pct_other,Q4_DEC,55946,6.2672,0.159561,10,129.559,128,161,177,210,0.044634
b3split,40pct_Q8ENC_60pct_other,Q8_ENC,59143,6.9272,0.144357,23,146.950,146,184,202,214,0.042689
b3split,40pct_Q8ENC_60pct_other,Q8_DEC,55915,6.9272,0.144357,24,141.979,141,180,194,216,0.040359
b3split,40pct_Q8ENC_60pct_other,Q4_ENC,29581,6.9272,0.144357,27,138.455,137,172,185,200,0.021351
b3split,40pct_Q8ENC_60pct_other,Q4_DEC,55361,6.9272,0.144357,76,141.765,141,180,194,212,0.039959
